"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"VALUE";
"ATTINY";"ATTINY45SO8S2";"ATTINY45SO8S2";"SO8S2";"Atmel ATTiny45";"";"";"";"";"";"";
"BAT1";"";"BATTERYBATTERY_12MM_SMT";"BATTCON_12MM_SMT";"Battery Holders";"";"";"";"";"";"";
"C1";"100u";"CPOL-EUE2-5";"E2-5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";
"C2";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C3";"0.1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C4";"0.1µ";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C5";"0.1µ";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C6";"18p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C7";"18p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C8";"22p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C9";"22p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C10";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C11";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C12";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C14";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C15";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C16";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";
"CAP";"10u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";
"D1";"";"DIODEDO-1N4148";"DO-1N4148";"Diode";"";"";"";"";"";"";
"D2";"";"DIODEDO-1N4148";"DO-1N4148";"Diode";"";"";"";"";"";"";
"D3";"";"DIODEDO-1N4148";"DO-1N4148";"Diode";"";"";"";"";"";"";
"DOWN";"";"TAC_SWITCHPTH";"TACTILE-PTH";"Momentary Switch";"";"";"";"";"";"";
"DS1";"DS1307";"DS1307SOIC";"SO08";"DS1307";"";"";"";"";"";"";
"IC1";"LM1117-33";"V_REG_LM1117SOT223";"SOT223";"Voltage Regulator LM1117";"";"";"";"";"";"";
"IC2";"ENC28J60";"ENC28J60";"SSOP28DB";"Microchip SPI 10Base ethernet IC";"";"";"";"";"";"";
"ISP";"";"PINHD-2X3";"2X03";"PIN HEADER";"";"";"";"";"";"";
"K1";"G5V1";"G5V1";"G5V1";"RELAY";"";"G5V-1-DC24";"9949593";"36M6377";"";"";
"K2";"G5V1";"G5V1";"G5V1";"RELAY";"";"G5V-1-DC24";"9949593";"36M6377";"";"";
"K3";"G5V1";"G5V1";"G5V1";"RELAY";"";"G5V-1-DC24";"9949593";"36M6377";"";"";
"L1";"Bead";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";
"LED1";"";"LEDSMT1206";"1206";"LED";"";"";"";"";"";"";
"LED2";"";"LEDSMT1206";"1206";"LED";"";"";"";"";"";"";
"LED3";"";"LEDSMT1206";"1206";"LED";"";"";"";"";"";"";
"LEFT";"";"TAC_SWITCHPTH";"TACTILE-PTH";"Momentary Switch";"";"";"";"";"";"";
"R1";"470";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";
"R2";"3k3";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";
"R3";"470";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";
"R4";"3k3";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";
"R5";"470";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";
